t_index	term	df
988	bark	1
989	barkina	2
990	barkolla	1
991	barkova	3
992	barna	4
993	barney	1
994	barnstorm	1
995	barot	1
996	barov	1
997	barr	1
998	barrack	35
999	barrag	2
1000	barrel	2
1001	barrera	2
1002	barri	1
1003	barricad	18
1004	barrier	12
1005	bartlett	1
1006	barua	5
1007	base	167
1008	base-erod	1
1009	basebal	4
1010	baseball-styl	1
1011	baselin	16
1012	baseline-bound	1
1013	basement	1
1014	basher	1
1015	bashraheel	1
1016	bashrahel	1
1017	basi	15
1018	basic	43
1019	basilica	1
1020	bask	2
1021	basket	3
1022	basketbal	1
1023	basset	1
1024	bassiouni	1
1025	bastion	6
1026	batch	1
1027	bath	4
1028	bathroom	3
1029	bathtub	1
1030	batic	2
1031	baton	4
1032	battalion	3
1033	batten	1
1034	batter	8
1035	batteri	1
1036	battery-oper	1
1037	battl	76
1038	battle-harden	2
1039	battlefield	4
1040	battleground	8
1041	bauman	6
1042	bautista	1
1043	bavaria	1
1044	bay	7
1045	bazaar	1
1046	bbc	29
1047	beach	17
1048	beachfront	1
1049	bead	1
1050	beal	1
1051	beam	13
1052	bean	3
1053	bear	23
1054	beard	18
1055	bearer	2
1056	beat	79
1057	beaten	31
1058	beater	3
1059	beaumont-bas	1
1060	beauti	6
1061	beaver	1
1062	becam	104
1063	becaus	354
1064	becausec	1
1065	beci	2
1066	becker	1
1067	becom	115
1068	bed	33
1069	bedanova	2
1070	bedi	12
1071	bedouin	1
1072	bedroom	6
1073	bedsheet	1
1074	beef	6
1075	beer	2
1076	befit	1
1077	befor	391
1078	befriend	1
1079	befuddl	1
1080	beg	4
1081	began	156
1082	beggar	1
1083	begin	151
1084	begun	31
1085	behalf	8
1086	behan	1
1087	behari	3
1088	behav	9
1089	behavior	10
1090	behind	155
1091	behind-the-scen	2
1092	beholden	3
1093	beij	3
1094	beirut	9
1095	bekki	3
1096	belaru	1
1097	belch	1
1098	beleagu	3
1099	belgian	5
1100	belgium	6
1101	belgrad	100
1102	beli	1
1103	belida	3
1104	belief	17
1105	believ	292
1106	belittl	1
1107	bell	4
1108	belliger	1
1109	belong	31
1110	belov	5
1111	belt	8
1112	bema	2
1113	bemoan	1
1114	ben	5
1115	bench	4
1116	benchmark	1
1117	bend	2
1118	beneath	31
1119	benefactor	2
1120	benefici	1
1121	beneficiari	1
1122	benefit	17
1123	benevol	7
1124	benign	1
1125	benin	8
1126	benito	1
1127	benjamin	2
1128	bennett	1
1129	benni	1
1130	bent	13
1131	benton	1
1132	bequeath	1
1133	berat	1
1134	bere	1
1135	beresich	1
1136	beretta	1
1137	bergen	1
1138	berger	25
1139	berlin	8
1140	bernstein	2
1141	bershard	1
1142	bershevski	1
1143	berth	2
1144	beschloss	1
1145	beset	2
1146	besid	27
1147	besieg	4
1148	bespectacl	2
1149	best	94
1150	best-equip	1
1151	best-kept	1
1152	best-known	6
1153	bet	4
1154	beta	7
1155	beta-jon	1
1156	beth	1
1157	betray	4
1158	betrisia	1
1159	better	119
1160	better-train	1
1161	bevan	1
1162	beveneari	1
1163	bewild	1
1164	beyond	37
1165	bhaba	2
1166	bhachau	4
1167	bhagat	1
1168	bhakta	1
1169	bharatiya	3
1170	bharpi	3
1171	bhaskar	5
1172	bhat	1
1173	bhatt	1
1174	bhavesh	1
1175	bhowmik	1
1176	bhug	1
1177	bhuj	33
1178	bia	1
1179	biafran	2
1180	biarritz	3
1181	bias	8
1182	bibl	4
1183	bible-read	1
1184	biblic	1
1185	bicker	3
1186	bicycl	5
1187	bid	50
1188	bidanora	1
1189	big	76
1190	big-citi	1
1191	big-ticket	1
1192	bigger	8
1193	biggest	39
1194	bigot	1
1195	bihari	10
1196	bilater	8
1197	bilingu	1
1198	bill	68
1199	billboard	2
1200	billet	1
1201	billi	4
1202	billion	54
1203	billion-dollar	5
1204	billionair	9
1205	billow	13
1206	biltera	1
1207	bimal	2
1208	bin	87
1209	bin-laden	1
1210	bind	5
1211	bindra	3
1212	bingaman	2
1213	bingo	1
1214	binocular	5
1215	bio	1
1216	biogeneticist	1
1217	biograph	3
1218	biographi	4
1219	biolog	4
1220	bion	1
1221	bipartisan	2
1222	bipartisanship	1
1223	bird	3
1224	birger	1
1225	birth	9
1226	birthday	6
1227	birthmark	1
1228	birthplac	1
1229	biscuit	3
1230	bishop	2
1231	bit	46
1232	bite	2
1233	bitka	1
1234	bitten	1
1235	bitter	19
1236	bitterli	10
1237	bittersweet	2
1238	biw	1
1239	bizarr	10
1240	bjorn	1
1241	black	57
1242	black-clad	1
1243	black-rob	3
1244	black-ti	2
1245	blacken	4
1246	blackmail	5
1247	blackout	4
1248	blade	1
1249	blair	15
1250	blakemor	1
1251	blame	56
1252	blanchard	1
1253	blanco	7
1254	bland	1
1255	blanda	1
1256	blank	2
1257	blanket	35
1258	blankli	2
1259	blare	1
1260	blast	109
1261	blatant	2
1262	blaze	6
1263	bleach	1
1264	bleach-blond	1
1265	bleacher	1
1266	bleak	1
1267	bled	1
1268	bleed	2
1269	blemish	1
1270	blend	4
1271	bless	9
1272	blew	41
1273	blew-up	1
1274	blind	8
1275	blindli	5
1276	blink	3
1277	blister	2
1278	blitz	1
1279	blitzer	1
1280	blizzard	5
1281	bloat	4
1282	bloc	7
1283	block	83
1284	blockad	15
1285	blocker	1
1286	blocki	1
1287	blokosso	1
1288	blond	4
1289	blond-hair	1
1290	blood	31
1291	blood-chil	2
1292	blood-spatt	1
1293	blood-splatt	1
1294	bloodbath	2
1295	bloodi	8
1296	bloodiest	1
1297	bloodless	2
1298	bloodsh	9
1299	bloodstain	1
1300	bloomberg	1
1301	bloomer	1
1302	blous	1
1303	blow	25
1304	blown	11
1305	blowtorch	1
1306	blue	43
1307	blue-wat	1
1308	blueprint	11
1309	bluf	5
1310	blunk	1
1311	blunt	2
1312	bluntli	2
1313	blur	2
1314	blurb	1
1315	blusteri	1
1316	blvd	1
1317	bnaibrith	1
1318	board	62
1319	boarder	5
1320	boardwalk	1
1321	boast	3
1322	boat	117
1323	boater	1
1324	boatmen	1
1325	bob	24
1326	bobbi	6
1327	bobic	1
1328	bodi	188
1329	bodien	1
1330	bodin	9
1331	bodon	1
1332	body-hunt	3
1333	bodyguard	10
1334	boe	2
1335	bog	2
1336	boga	1
1337	bogg	1
1338	bogu	4
1339	bohdan	2
1340	boil	1
1341	boister	1
1342	bojic	1
1343	bold	3
1344	boldli	1
1345	bolivia	1
1346	bolona	2
1347	bolster	12
1348	bolt	1
1349	bomb	255
1350	bomb-	1
1351	bomb-damag	1
1352	bomb-laden	2
1353	bomb-mak	11
1354	bombard	2
1355	bombay	5
1356	bomber	57
1357	bombet	2
1358	bombey	1
1359	bombmak	4
1360	bombshel	1
1361	bond	17
1362	bondjump	1
1363	bone	52
1364	bone-weari	1
1365	bonecardi	1
1366	bonfir	3
1367	bonilla	1
1368	bonni	1
1369	bono	1
1370	bonu	1
1371	boo	3
1372	booby-trap	3
1373	book	26
1374	bookend	1
1375	boom	7
1376	boost	14
1377	booster	1
1378	boot	4
1379	boot-brush	1
1380	booth	8
1381	bor	1
1382	border	53
1383	bore	3
1384	borg	1
1385	bori	7
1386	borisav	1
1387	borislav	3
1388	borisov	1
1389	borivoj	1
1390	bork	1
1391	borka	1
1392	born	38
1393	born-again	1
1394	borneo	4
1395	borotra	1
1396	borrow	2
1397	borzon	1
1398	bosnia	13
1399	bosnia-herzegovina	3
1400	bosnian	5
1401	boss	10
1402	boston	18
1403	botch	5
1404	bother	9
1405	bottl	5
1406	bottom	27
1407	bouak	1
1408	boucher	8
1409	bouffard	1
1410	bought	10
1411	boulevard	1
1412	bounc	7
1413	bound	14
1414	boundari	2
1415	bounti	1
1416	bout	5
1417	bow	11
1418	bowel	2
1419	bowen	2
1420	bowl	1
1421	bowman	1
1422	bowmen	1
1423	bowrey	1
1424	box	17
1425	boxer	1
1426	boy	35
1427	boycot	26
1428	boycott	18
1429	boyd	1
1430	boyfriend	4
1431	bozov	3
1432	braca	2
1433	brace	4
1434	braci	1
1435	bracket	1
1436	brad	6
1437	bradi	1
1438	bradman	1
1439	bradshaw	1
1440	brag	4
1441	brain	2
1442	brainwash	3
1443	brake	1
1444	branch	9
1445	brand	6
1446	brandish	6
1447	brandon	1
1448	brash	2
1449	brass	4
1450	brave	6
1451	bravent	1
1452	braveri	2
1453	bravo	4
1454	brazen	1
1455	brazil	2
1456	brazilian	1
1457	breach	3
1458	bread	1
1459	breadbasket	2
1460	break	104
1461	break-point	1
1462	break-up	1
1463	breakaway	2
1464	breakdown	3
1465	breaker	1
1466	breakfast	6
1467	breakout	9
1468	breakthrough	12
1469	breakup	3
1470	breast	4
1471	breath	6
1472	breaux	1
1473	breed	5
1474	breez	6
1475	breme	1
1476	bremer	1
1477	brenton	2
1478	brevant	1
1479	brew	3
1480	brewer	1
1481	brian	15
1482	bribe	40
1483	briberi	10
1484	brick	10
1485	brick-wal	1
1486	bride	1
1487	bridg	19
1488	bridgett	1
1489	brie	6
1490	brief	63
1491	briefli	24
1492	brien	1
1493	brig	1
1494	brigad	3
1495	bright	10
1496	bright-ey	1
1497	brighten	2
1498	brighter	1
1499	brightest	2
1500	brightli	1
1501	brilliant	3
1502	brim	1
1503	bring	126
1504	brink	6
1505	brisk	1
1506	briskli	3
1507	bristl	3
1508	britain	37
1509	british	56
1510	briton	3
1511	broad	11
1512	broad-bas	2
1513	broad-beam	1
1514	broad-brush	1
1515	broadcast	59
1516	broaden	2
1517	broader	9
1518	broadli	3
1519	broder	1
1520	brokaw	1
1521	broke	91
1522	broken	49
1523	broker	7
1524	brokerag	1
1525	bronco	1
1526	bronxvil	1
1527	bronz	2
1528	brood	1
1529	brook	3
1530	brooklyn	1
1531	broom	1
1532	brother	66
1533	brother-in-law	6
1534	brought	116
1535	brow	2
1536	brown	15
1537	brown-skin	1
1538	broz	1
1539	bruce	1
1540	bruis	7
1541	brunei	22
1542	brunswick	1
1543	brunt	4
1544	brush	5
1545	brussel	6
1546	brutal	16
1547	bryan	4
1548	bryann	1
1549	bryant	1
1550	bu	18
1551	bubbl	1
1552	bubble-gum	1
1553	buccan	1
1554	buchanan	7
1555	buck	9
1556	bucket	4
1557	buckl	13
1558	bud	3
1559	budapest	1
1560	buddhist	1
1561	buddi	1
1562	budget	9
1563	budnev	1
1564	budor	1
1565	budsmen	1
1566	budva	1
1567	bueni	1
1568	buf	4
1569	buff	4
1570	buffalo	3
1571	buffer	1
1572	bug	5
1573	bugss	1
1574	build	169
1575	builder	6
1576	buildup	2
1577	built	27
1578	bulatov	7
1579	bulg	1
1580	bulgaria	3
1581	bulk	4
1582	bulkhead	4
1583	bulki	1
1584	bulldoz	25
1585	bullet	8
1586	bullet-proof	2
1587	bulletin	3
1588	bulletproof	3
1589	bulli	3
1590	bullzdoz	1
1591	bum	1
1592	bump	2
1593	bumper	4
1594	bumpi	1
1595	bunch	5
1596	bundl	1
1597	bungl	6
1598	bunk	4
1599	bunker	7
1600	bunkroom	1
1601	bunt	1
1602	buoy	7
1603	buraika	1
1604	burch	1
1605	burden	7
1606	bureau	33
1607	bureaucraci	4
1608	bureaucrat	7
1609	burglar	7
1610	burglari	8
1611	burgsmul	2
1612	buri	85
1613	burial	13
1614	burk	3
1615	burke-class	2
1616	burkhard	1
1617	burkina	8
1618	burkinab	1
1619	burkl	5
1620	burli	4
1621	burn	46
1622	burned-out	3
1623	burner	2
1624	burnt	3
1625	burri	1
1626	burst	10
1627	burton	5
1628	buse	19
1629	bush	98
1630	bush-cheney	2
1631	bush-gor	1
1632	bush-quail	1
1633	bushnel	1
1634	bushy-beard	1
1635	busi	90
1636	busiest	1
1637	busili	1
1638	businessman	54
1639	businessmen	5
1640	buss	1
1641	bust	7
1642	bustamant	1
